name,occurance,gender,type
西王母,13,女,個性鮮明的天界眾仙
王子喬,7,男,凡人成仙者
劉晨,6,男,凡人成仙者
阮肇,6,女,凡人成仙者
麻姑,5,女,凡人成仙者
玉皇大帝,5,男,個性鮮明的天界眾仙
嫦娥,4,女,凡人成仙者
三茅真君,4,男,凡人成仙者
杜蘭香,3,女,個性鮮明的天界眾仙
馮夷,3,男,個性鮮明的天界眾仙
黄初平,3,男,凡人成仙者
黃帝,3,男,凡人成仙者
牽牛,3,男,個性鮮明的天界眾仙
蕭史,3,男,凡人成仙者
織女,3,女,個性鮮明的天界眾仙
安期生,2,男,凡人成仙者
東方朔,2,男,凡人成仙者
萼綠華,2,女,類型化仙人
扶桑大帝,2,男,個性鮮明的天界眾仙
劉根,2,男,凡人成仙者
甯封子,2,男,凡人成仙者
弄玉,2,女,凡人成仙者
上元夫人,2,女,個性鮮明的天界眾仙
徐福,2,男,凡人成仙者
許飛瓊,2,女,類型化仙人
包山神,1,男,類型化仙人
布龍兒,1,男,類型化仙人
赤鬆子,1,男,凡人成仙者
東妃,1,女,類型化仙人
東王公,1,男,個性鮮明的天界眾仙
董雙成,1,女,凡人成仙者
浮丘公,1,男,類型化仙人
鳧伯,1,男,類型化仙人
廣成子,1,男,個性鮮明的天界眾仙
韓終,1,男,凡人成仙者
賀郎仙,1,男,類型化仙人
絳闕夫人,1,女,類型化仙人
金骨仙,1,男,凡人成仙者
九炁真翁,1,男,類型化仙人
九天真妃,1,女,個性鮮明的天界眾仙
九陽君,1,男,類型化仙人
李八伯,1,男,類型化仙人
靈威丈人,1,男,類型化仙人
六丁,1,男,類型化仙人
龍伯,1,男,類型化仙人
呂洞賓,1,男,凡人成仙者
毛女,1,女,凡人成仙者
宓妃,1,女,個性鮮明的天界眾仙
彭祖,1,男,凡人成仙者
七真,1,男,凡人成仙者
秦王女,1,女,凡人成仙者
琴高,1,男,凡人成仙者
青女,1,女,個性鮮明的天界眾仙
青童君,1,男,類型化仙人
青溪道士,1,男,凡人成仙者
青腰侍女,1,女,類型化仙人
阮籍,1,男,類型化仙人
三官大帝,1,男,類型化仙人
三清,1,男,個性鮮明的天界眾仙
上陽君,1,男,類型化仙人
沈羲,1,男,凡人成仙者
蘇仙君,1,男,凡人成仙者
太一神,1,男,個性鮮明的天界眾仙
太一元君,1,女,類型化仙人
衛叔卿,1,男,凡人成仙者
魏夫人,1,女,凡人成仙者
無央公子,1,男,類型化仙人
五老,1,男,個性鮮明的天界眾仙
西妃,1,女,類型化仙人
謝靈運,1,男,類型化仙人
瑤姬,1,女,個性鮮明的天界眾仙
羽人,1,女,類型化仙人
玉妃,1,女,類型化仙人
玉女,1,女,類型化仙人
玉清元始天尊,1,男,個性鮮明的天界眾仙
玉真公主,1,女,凡人成仙者
雲英,1,女,個性鮮明的天界眾仙
鐘離權,1,男,凡人成仙者
紫府仙人,1,男,類型化仙人
紫陽真人,1,男,凡人成仙者
