name,occurance,gender,type
西王母,16,女,個性鮮明的天界眾仙
弄玉,5,女,凡人成仙者
麻姑,3,女,凡人成仙者
青童君,2,男,類型化仙人
上元夫人,2,女,個性鮮明的天界眾仙
王子喬,2,男,凡人成仙者
羲和,2,女,類型化仙人
蕭史,2,男,凡人成仙者
許飛瓊,2,女,類型化仙人
羽人,2,女,類型化仙人
玉女,2,女,類型化仙人
安期生,1,男,凡人成仙者
白石先生,1,男,凡人成仙者
貝宮夫人,1,女,類型化仙人
東方朔,1,男,凡人成仙者
萼綠華,1,女,類型化仙人
黃帝,1,男,凡人成仙者
劉綱,1,男,凡人成仙者
羅公遠,1,男,凡人成仙者
茅盈,1,男,凡人成仙者
木公,1,男,個性鮮明的天界眾仙
七真,1,男,凡人成仙者
潛君,1,男,類型化仙人
清虛真人,1,男,凡人成仙者
少姑,1,女,類型化仙人
蘇仙君,1,男,凡人成仙者
素女,1,女,類型化仙人
太一神,1,男,個性鮮明的天界眾仙
玉晨君,1,男,個性鮮明的天界眾仙
王方平,1,男,凡人成仙者
魏伯陽,1,男,凡人成仙者
西城王君,1,男,凡人成仙者
仙娥,1,女,類型化仙人
羨門子,1,男,類型化仙人
謝自然,1,女,凡人成仙者
瑤姬,1,女,個性鮮明的天界眾仙
玉華仙子,1,女,類型化仙人
玉皇大帝,1,男,個性鮮明的天界眾仙
張道陵,1,男,凡人成仙者
織女,1,女,個性鮮明的天界眾仙
紫微北極大帝,1,男,類型化仙人
紫陽宮女,1,女,類型化仙人
紫陽真人,1,男,凡人成仙者
